observable,run_label,sigma_total_pb,generated_events,selected_events,bin_low,bin_high,bin_center,counts,dsigma_pb_per_unit
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.50000000e+02,1.75000000e+02,1.62500000e+02,3171,7.217069160000e-07
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.75000000e+02,2.00000000e+02,1.87500000e+02,5137,1.169160652000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,2.00000000e+02,2.25000000e+02,2.12500000e+02,7631,1.736785076000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,2.25000000e+02,2.50000000e+02,2.37500000e+02,10784,2.454395264000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,2.50000000e+02,2.75000000e+02,2.62500000e+02,14213,3.234821948000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,2.75000000e+02,3.00000000e+02,2.87500000e+02,18008,4.098548768000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,3.00000000e+02,3.25000000e+02,3.12500000e+02,22595,5.142531620000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,3.25000000e+02,3.50000000e+02,3.37500000e+02,26835,6.107538660000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,3.50000000e+02,3.75000000e+02,3.62500000e+02,31514,7.172460344000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,3.75000000e+02,4.00000000e+02,3.87500000e+02,36015,8.196869940000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,4.00000000e+02,4.25000000e+02,4.12500000e+02,40670,9.256329320000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,4.25000000e+02,4.50000000e+02,4.37500000e+02,44368,1.009797932800e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,4.50000000e+02,4.75000000e+02,4.62500000e+02,48056,1.093735337600e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,4.75000000e+02,5.00000000e+02,4.87500000e+02,50490,1.149132204000e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,5.00000000e+02,5.25000000e+02,5.12500000e+02,52909,1.204187676400e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,5.25000000e+02,5.50000000e+02,5.37500000e+02,54575,1.242105170000e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,5.50000000e+02,5.75000000e+02,5.62500000e+02,54976,1.251231769600e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,5.75000000e+02,6.00000000e+02,5.87500000e+02,54570,1.241991372000e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,6.00000000e+02,6.25000000e+02,6.12500000e+02,53614,1.220233194400e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,6.25000000e+02,6.50000000e+02,6.37500000e+02,51925,1.181792230000e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,6.50000000e+02,6.75000000e+02,6.62500000e+02,49036,1.116039745600e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,6.75000000e+02,7.00000000e+02,6.87500000e+02,45446,1.034332781600e-05
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,7.00000000e+02,7.25000000e+02,7.12500000e+02,41201,9.377182796000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,7.25000000e+02,7.50000000e+02,7.37500000e+02,36730,8.359601080000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,7.50000000e+02,7.75000000e+02,7.62500000e+02,32075,7.300141700000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,7.75000000e+02,8.00000000e+02,7.87500000e+02,27327,6.219515892000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,8.00000000e+02,8.25000000e+02,8.12500000e+02,22384,5.094508864000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,8.25000000e+02,8.50000000e+02,8.37500000e+02,17880,4.069416480000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,8.50000000e+02,8.75000000e+02,8.62500000e+02,13738,3.126713848000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,8.75000000e+02,9.00000000e+02,8.87500000e+02,10338,2.352887448000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,9.00000000e+02,9.25000000e+02,9.12500000e+02,7149,1.627083804000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,9.25000000e+02,9.50000000e+02,9.37500000e+02,4872,1.108847712000e-06
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,9.50000000e+02,9.75000000e+02,9.62500000e+02,3035,6.907538600000e-07
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,9.75000000e+02,1.00000000e+03,9.87500000e+02,1817,4.135419320000e-07
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.00000000e+03,1.02500000e+03,1.01250000e+03,1030,2.344238800000e-07
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.02500000e+03,1.05000000e+03,1.03750000e+03,483,1.099288680000e-07
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.05000000e+03,1.07500000e+03,1.06250000e+03,192,4.369843200000e-08
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.07500000e+03,1.10000000e+03,1.08750000e+03,59,1.342816400000e-08
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.10000000e+03,1.12500000e+03,1.11250000e+03,16,3.641536000000e-09
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.12500000e+03,1.15000000e+03,1.13750000e+03,0,0.000000000000e+00
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.15000000e+03,1.17500000e+03,1.16250000e+03,0,0.000000000000e+00
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.17500000e+03,1.20000000e+03,1.18750000e+03,0,0.000000000000e+00
Maa,run_08_fT8_10_TeV^-4,2.275200000000e-02,1000000,1000000,0.00000000e+00,2.50000000e+01,1.25000000e+01,0,0.000000000000e+00
Maa,run_08_fT8_10_TeV^-4,2.275200000000e-02,1000000,1000000,2.50000000e+01,5.00000000e+01,3.75000000e+01,11,1.001088000000e-08
Maa,run_08_fT8_10_TeV^-4,2.275200000000e-02,1000000,1000000,5.00000000e+01,7.50000000e+01,6.25000000e+01,85,7.735680000000e-08
Maa,run_08_fT8_10_TeV^-4,2.275200000000e-02,1000000,1000000,7.50000000e+01,1.00000000e+02,8.75000000e+01,304,2.766643200000e-07
Maa,run_08_fT8_10_TeV^-4,2.275200000000e-02,1000000,1000000,1.00000000e+02,1.25000000e+02,1.12500000e+02,853,7.762982400000e-07
